DataID,OldID,N_RivID,Continent,Country,Ori_SR,SpeMatrix,RawSeq,Note,Year,Month,Primer,BarcodeRegion,BarcodeLength,SamVolume,SamReps,TotVolume,ReferDB
D001,Ref001,NR001;NR002;NR003,North_America,Canada,TRUE,TRUE,FALSE,V1,2013,10,PS1,COI,247,0.5,3.5,1.75,Custom_db
D002,Ref002,NR058;NR059;NR060;NR061,Asia,Sourth Korea,FALSE,FALSE,TRUE,V2,2018,6,MiFish,12S,170,0.25,4,1,Global_db
D003,Ref003,NR004,North_America,US,TRUE,TRUE,TRUE,V1,2013,7,mt-cytb,CytB,130,0.05,1,0.05,Global_db
D004,Ref004,NR005,South_America,Brasil,TRUE,TRUE,TRUE,V1,2017,2,MiFish,12S,170,1,3,3,Custom_db
D004,Ref004,NR005,South_America,Brasil,TRUE,TRUE,TRUE,V1,2017,3,MiFish,12S,170,1,3,3,Custom_db
D005,Ref005,NR006,Europe,France,TRUE,TRUE,TRUE,V3,2016,4,Teleo,12S,108,30,2,60,Custom_db
D006,Ref006,NR007;NR008;NR009;NR010'NR011,Asia,Japan,TRUE,TRUE,TRUE,V1,2016,10,MiFish,12S,170,1,2,2,Global_db
D007,Ref007,NR013;NR014;NR015,South_America,French Guiana,TRUE,TRUE,TRUE,V1,2014,11,Teleo,12S,108,50,1,50,Global_db
D008,Ref008,NR016,Europe,France,TRUE,TRUE,TRUE,V1,2014,9,Teleo,12S,108,45,4.5,202.5,Global_db
D009,Ref009,NR017,North_America,US,TRUE,TRUE,TRUE,V1,2018,7,12SV5,12S,130,0.05,36,1.8,Custom_db
D010,Ref010,NR018,Europe,UK,TRUE,TRUE,TRUE,V1,2016,5,12SV5,12S,130,0.05,6,0.3,Global_db
D010,Ref010,NR018,Europe,UK,TRUE,TRUE,TRUE,V1,2016,11,12SV5,12S,130,0.05,6,0.3,Global_db
D010,Ref010,NR018,Europe,UK,TRUE,TRUE,TRUE,V1,2017,7,12SV5,12S,130,0.05,6,0.3,Global_db
D011,Ref011,NR019,Europe,UK,TRUE,TRUE,TRUE,V1,2017,11,12SV5,12S,130,2,5,10,Custom_db
D012,Ref012,NR073;NR074;NR075;NR076;NR077;NR078,North_America,US,TRUE,TRUE,TRUE,V2,2017,10,12S 63F+64R,12S,198,3,6,18,Global_db
D013,Ref013,NR020;NR021,South_America,multiple,FALSE,FALSE,TRUE,V1,2017,10,Teleo,12S,108,34,2,68,Custom_db
