DataID,OldID,N_RivID,Continent,Country,Ori_SR,SpeMatrix,RawSeq,Year,Month,Primer,BarcodeRegion,BarcodeLength,SamVolume,SamReps,TotVolume,,ReferDB,RawSeqID,ReAssigned
D001,Ref001,NR001;NR002;NR003,North_America,Canada,TRUE,TRUE,FALSE,2013,10,PS1,COI,247,0.5,3.5,1.75,D001PS1,Custom_db,,
D002,Ref002,NR058;NR059;NR060;NR061,Asia,Sourth Korea,FALSE,FALSE,TRUE,2018,6,MiFish,12S,170,0.25,4,1,D002MiFish,Global_db,RS001,yes
D003,Ref003,NR004,North_America,US,TRUE,TRUE,TRUE,2013,7,Cytb02,CytB,130,0.05,1,0.05,D003Cytb02,Global_db,RS048,yes
D004,Ref004,NR005,South_America,Brasil,TRUE,TRUE,TRUE,2017,2,MiFish,12S,170,1,3,3,D004MiFish,Custom_db,RS007,yes
D004,Ref004,NR005,South_America,Brasil,TRUE,TRUE,TRUE,2017,3,MiFish,12S,170,1,3,3,D004MiFish,Custom_db,RS007,yes
D005,Ref005,NR006,Europe,France,TRUE,TRUE,TRUE,2016,4,Teleo,12S,108,30,2,60,D005Teleo,Custom_db,RS014,yes
D006,Ref006,NR007;NR008;NR009;NR010'NR011,Asia,Japan,TRUE,TRUE,TRUE,2016,10,MiFish,12S,170,1,2,2,D006MiFish,Global_db,RS002,yes
D007,Ref007,NR013;NR014;NR015,South_America,French Guiana,TRUE,TRUE,FALSE,2014,11,Teleo,12S,108,50,1,50,D007Teleo,Global_db,,
D008,Ref008,NR016,Europe,France,TRUE,TRUE,TRUE,2014,9,Teleo,12S,108,45,4.5,202.5,D008Teleo,Global_db,RS016,yes
D009,Ref009,NR017,North_America,US,TRUE,TRUE,TRUE,2018,7,Riaz01,12S,130,0.05,36,1.8,D009Riaz01,Custom_db,RS024,yes
D010,Ref010,NR018,Europe,UK,TRUE,TRUE,TRUE,2016,5,Riaz01,12S,130,0.05,6,0.3,D010Riaz01,Global_db,RS025,yes
D010,Ref010,NR018,Europe,UK,TRUE,TRUE,TRUE,2016,11,Riaz01,12S,130,0.05,6,0.3,D010Riaz01,Global_db,RS025,yes
D010,Ref010,NR018,Europe,UK,TRUE,TRUE,TRUE,2017,7,Riaz01,12S,130,0.05,6,0.3,D010Riaz01,Global_db,RS025,yes
D011,Ref011,NR019,Europe,UK,TRUE,TRUE,TRUE,2017,11,Riaz01,12S,130,2,5,10,D011Riaz01,Custom_db,RS026,yes
D012,Ref012,NR073;NR074;NR075;NR076;NR077;NR078,North_America,US,TRUE,TRUE,TRUE,2017,10,A12S,12S,198,3,6,18,D012A12S,Global_db,RS035,yes
D013,Ref013,NR020;NR021,South_America,multiple,FALSE,FALSE,TRUE,2017,10,Teleo,12S,108,34,2,68,D013Teleo,Custom_db,RS017,yes
D013,Ref013,NR020;NR021,South_America,multiple,FALSE,FALSE,TRUE,2018,11,Teleo,12S,108,34,2,68,D013Teleo,Custom_db,RS017,yes
D014,Ref014,NR066,Europe,Switzerland,TRUE,TRUE,TRUE,2016,6,COI313,COI,313,0.25,3,0.75,D014COI313,Custom_db,RS046,yes
