samID,ItemID,DataID,N_RivID,N_SiteID,Continent,Country,Primer,Year,Month,SR,ID,SeqID,nASVs_B,nASVs_C,nASVs_E,nASVs_G,nSpes_B,nSpes_C,nSpes_E,nSpes_G
I161_S029,I161,D057,NR104,S029,North_America,Costa Rica,MiFish,2022,11,24,D057_RS051,RS051,7,7,7,21,6,6,6,15
I161_S030,I161,D057,NR104,S030,North_America,Costa Rica,MiFish,2022,11,28,D057_RS051,RS051,10,16,19,40,6,9,12,18
I161_S031,I161,D057,NR104,S031,North_America,Costa Rica,MiFish,2022,11,26,D057_RS051,RS051,1,2,6,32,1,2,4,15
I161_S032,I161,D057,NR104,S032,North_America,Costa Rica,MiFish,2022,11,25,D057_RS051,RS051,5,8,16,35,3,6,9,18
I161_S033,I161,D057,NR104,S033,North_America,Costa Rica,MiFish,2022,11,32,D057_RS051,RS051,5,8,13,44,3,6,9,23
I162_S024,I162,D057,NR110,S024,North_America,Panama,MiFish,2022,4,35,D057_RS051,RS051,12,14,16,63,7,9,10,27
I162_S025,I162,D057,NR110,S025,North_America,Panama,MiFish,2022,4,29,D057_RS051,RS051,10,14,15,31,5,7,8,17
I162_S026,I162,D057,NR110,S026,North_America,Panama,MiFish,2022,4,31,D057_RS051,RS051,10,12,12,55,5,7,7,24
I162_S027,I162,D057,NR110,S027,North_America,Panama,MiFish,2022,4,21,D057_RS051,RS051,5,6,7,37,4,5,6,17
I162_S028,I162,D057,NR110,S028,North_America,Panama,MiFish,2022,4,29,D057_RS051,RS051,5,8,11,36,5,8,11,22
I163_S001,I163,D057,NR108,S001,North_America,Panama,MiFish,2022,5,19,D057_RS051,RS051,7,11,15,29,4,6,9,16
I163_S002,I163,D057,NR108,S002,North_America,Panama,MiFish,2022,5,20,D057_RS051,RS051,3,7,13,50,2,5,9,22
I163_S003,I163,D057,NR108,S003,North_America,Panama,MiFish,2022,5,21,D057_RS051,RS051,3,7,13,48,3,6,10,20
I163_S004,I163,D057,NR108,S004,North_America,Panama,MiFish,2022,5,26,D057_RS051,RS051,5,13,21,59,5,10,15,29
I163_S005,I163,D057,NR108,S005,North_America,Panama,MiFish,2022,5,13,D057_RS051,RS051,0,0,1,17,0,0,1,9
I164_S006,I164,D057,NR109,S006,North_America,Panama,MiFish,2022,6,30,D057_RS051,RS051,1,8,18,56,1,5,10,27
I164_S007,I164,D057,NR109,S007,North_America,Panama,MiFish,2022,6,27,D057_RS051,RS051,4,13,21,62,4,11,15,31
I164_S008,I164,D057,NR109,S008,North_America,Panama,MiFish,2022,6,33,D057_RS051,RS051,0,6,14,62,0,4,8,29
I164_S009,I164,D057,NR109,S009,North_America,Panama,MiFish,2022,6,29,D057_RS051,RS051,2,10,17,58,2,8,14,31
I165_S010,I165,D057,NR111,S010,North_America,Panama,MiFish,2022,6,25,D057_RS051,RS051,3,10,17,71,3,7,12,27
I166_S015,I166,D057,NR105,S015,North_America,Panama,MiFish,2022,8,46,D057_RS051,RS051,15,22,28,91,6,12,17,42
I166_S016,I166,D057,NR105,S016,North_America,Panama,MiFish,2022,8,17,D057_RS051,RS051,11,13,17,33,3,5,9,18
I166_S017,I166,D057,NR105,S017,North_America,Panama,MiFish,2022,8,43,D057_RS051,RS051,8,15,32,82,5,11,20,46
I166_S018,I166,D057,NR105,S018,North_America,Panama,MiFish,2022,8,44,D057_RS051,RS051,15,22,34,89,5,10,19,43
I167_S021,I167,D057,NR106,S021,North_America,Panama,MiFish,2022,8,27,D057_RS051,RS051,5,6,10,33,4,5,8,20
I167_S022,I167,D057,NR106,S022,North_America,Panama,MiFish,2022,8,28,D057_RS051,RS051,14,18,25,51,6,9,14,27
I167_S023,I167,D057,NR106,S023,North_America,Panama,MiFish,2022,8,42,D057_RS051,RS051,5,10,15,65,5,8,10,27
I168_S011,I168,D057,NR107,S011,North_America,Panama,MiFish,2022,8,27,D057_RS051,RS051,6,11,16,37,6,9,12,22
I168_S012,I168,D057,NR107,S012,North_America,Panama,MiFish,2022,8,26,D057_RS051,RS051,5,9,13,49,4,7,10,22
I168_S013,I168,D057,NR107,S013,North_America,Panama,MiFish,2022,8,27,D057_RS051,RS051,7,11,16,44,5,7,10,19
I168_S014,I168,D057,NR107,S014,North_America,Panama,MiFish,2022,8,25,D057_RS051,RS051,10,18,22,50,7,11,14,24
I169_S019,I169,D057,NR112,S019,North_America,Panama,MiFish,2022,8,31,D057_RS051,RS051,5,8,16,53,3,5,9,23
I001_S001,I001,D001,NR001,S001,North_America,Canada,PS1,2013,10,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I001_S002,I001,D001,NR001,S002,North_America,Canada,PS1,2013,10,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I001_S003,I001,D001,NR001,S003,North_America,Canada,PS1,2013,10,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I001_S004,I001,D001,NR001,S004,North_America,Canada,PS1,2013,10,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I001_S005,I001,D001,NR001,S005,North_America,Canada,PS1,2013,10,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I001_S006,I001,D001,NR001,S006,North_America,Canada,PS1,2013,10,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I001_S007,I001,D001,NR001,S007,North_America,Canada,PS1,2013,10,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I001_S008,I001,D001,NR001,S008,North_America,Canada,PS1,2013,10,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I001_S009,I001,D001,NR001,S009,North_America,Canada,PS1,2013,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I001_S010,I001,D001,NR001,S010,North_America,Canada,PS1,2013,10,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I001_S011,I001,D001,NR001,S011,North_America,Canada,PS1,2013,10,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I001_S012,I001,D001,NR001,S012,North_America,Canada,PS1,2013,10,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I001_S013,I001,D001,NR001,S013,North_America,Canada,PS1,2013,10,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I001_S014,I001,D001,NR001,S014,North_America,Canada,PS1,2013,10,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I001_S015,I001,D001,NR001,S015,North_America,Canada,PS1,2013,10,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I001_S016,I001,D001,NR001,S016,North_America,Canada,PS1,2013,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I001_S017,I001,D001,NR001,S017,North_America,Canada,PS1,2013,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I001_S018,I001,D001,NR001,S018,North_America,Canada,PS1,2013,10,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I001_S019,I001,D001,NR001,S019,North_America,Canada,PS1,2013,10,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I001_S020,I001,D001,NR001,S020,North_America,Canada,PS1,2013,10,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I001_S021,I001,D001,NR001,S021,North_America,Canada,PS1,2013,10,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I001_S022,I001,D001,NR001,S022,North_America,Canada,PS1,2013,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I001_S023,I001,D001,NR001,S023,North_America,Canada,PS1,2013,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
