ID,DataID,primer,barcode,continent,type,n.spes.common,n.spes.new,n.spes.old,n.spes.old.local,n.spes.old.notlocal,n.seqs,mean.seqs,median.seqs,prop.reads.common,n.spes.old.local.in.db
D006_RS002,D006,MiFish,12S,Asia,basin,3,3,50,17,33,130095,8673,6174,0.0053345632038126,12
D015_RS003,D015,MiFish,12S,Asia,basin,54,36,39,32,7,5640063,144617,153103,0.545923334544313,8
D021_RS006,D021,COI313,COI,Europe,basin,4,4,1,1,0,7027,1171.16666666667,98.5,0.0730041269389498,1
D004_RS007,D004,MiFish,12S,South_America,basin,5,3,30,6,24,392755,17852.5,17101,0.0884164428205879,0
D048_RS009,D048,MiFish,12S,Oceania,basin,6,3,21,0,21,168533,5617.76666666667,4068.5,0.483074531397412,0
D052_RS010,D052,MiFish,12S,Europe,basin,26,5,33,18,15,1232495,13396.6847826087,10003,0.952324350200204,3
D053_RS011,D053,MiFish,12S,Asia,basin,16,3,35,6,29,358564,35856.4,38248,0.656326346203188,5
D056_RS012,D056,MiFish,12S,Africa,basin,2,0,12,0,12,245221,22292.8181818182,32,1,0
D046_RS013,D046,MiFish,12S,Asia,basin,6,7,7,2,5,267427,12734.619047619,10480,0.564314747575974,1
D005_RS014,D005,Teleo,12S,Europe,basin,25,6,23,11,12,6523540,33800.725388601,31322,0.870615953914592,1
D008_RS016,D008,Teleo,12S,Europe,basin,12,2,11,5,6,509240,101848,110490,0.963818631686435,1
D013_RS017,D013,Teleo,12S,South_America,basin,30,21,125,120,5,5621600,108107.692307692,90899.5,0.828131670698734,4
D039_RS019,D039,Teleo,12S,Europe,basin,19,6,30,26,4,5715157,127003.488888889,99474,0.944957417617749,8
D045_RS020,D045,Tele02,12S,Asia,basin,30,87,75,15,60,3653993,81199.8444444444,71014,0.484573725237022,5
D049_RS021,D049,Tele02,12S,Europe,basin,1,1,5,1,4,371996,17714.0952380952,10,0.977010505489306,1
D051_RS022,D051,Tele02,12S,Europe,basin,22,6,36,7,29,1091430,54571.5,54119,0.916499454843645,1
D056_RS023,D056,Tele02,12S,Africa,basin,2,0,12,0,12,8707,791.545454545455,6,1,0
D009_RS024,D009,Riaz01,12S,North_America,basin,15,27,24,13,11,74513,8279.22222222222,5790,0.899171956571337,5
D010_RS025,D010,Riaz01,12S,Europe,basin,5,0,5,2,3,643197,35733.1666666667,36087.5,1,0
D011_RS026,D011,Riaz01,12S,Europe,basin,13,2,12,10,2,4523847,266108.647058824,176908,0.999868253722993,1
D020_RS027,D020,Riaz03,12S,North_America,basin,25,6,29,23,6,2484794,34511.0277777778,2135.5,0.826653638088308,13
D022_RS031,D022,Riaz01,12S,Europe,basin,6,9,11,0,11,2324561,10811.911627907,10699,0.284483392778249,0
D026_RS033,D026,AK12S,12S,North_America,basin,1,9,5,4,1,150749,21535.5714285714,8832,0.1615068756675,3
D050_RS034,D050,Am12S,12S,North_America,basin,37,11,9,7,2,2114398,23493.3111111111,21293,0.983611883855357,2
D050_RS037,D050,Ac16S,16S,North_America,basin,37,5,9,8,1,861281,9569.78888888889,5667.5,0.999836290362843,2
D048_RS038,D048,V16S01,16S,Oceania,basin,7,2,37,1,36,71069,2368.96666666667,1373.5,0.999057254217732,1
D048_RS040,D048,V16S03,16S,Oceania,basin,4,2,44,1,43,46990,1740.37037037037,1199,0.994573313470951,1
D026_RS041,D026,AK16S,16S,North_America,basin,1,3,0,0,0,7629,1089.85714285714,0,0.00576746624721458,0
D025_RS042,D025,COI313,CO1,North_America,basin,2,0,4,4,0,3366,673.2,149,1,1
D026_RS044,D026,AKCOIPro,COI,North_America,basin,0,1,1,0,1,203,29,0,0,0
D026_RS045,D026,AKCOISal,COI,North_America,basin,0,1,1,0,1,203,29,0,0,0
D003_RS048,D003,Cytb02,CytB,North_America,basin,0,3,13,6,7,211641,2821.88,0,0,1
D054_RS049,D054,MiFish,12S,North_America,basin,2,1,83,49,34,514,12.85,0,0.756809338521401,42
D055_RS050,D055,MiFish,12S,Oceania,basin,3,0,8,5,3,1660367,166036.7,180645.5,1,1
D057_RS051,D057,MiFish,12S,North_America,basin,9,3,141,7,134,64967,1968.69696969697,809,0.974325426755122,0
D058_RS052,D058,BCOI,COI,Europe,basin,1,0,1,0,1,832,64,19,1,0
D059_RS054,D059,Teleo,12S,South_America,basin,2,5,20,0,20,7009,2336.33333333333,1129,0.594521329718933,0
D059_RS055,D059,Riaz03,12S,South_America,basin,2,7,26,0,26,9513,3171,1907,0.735204457058762,0
D060_RS056,D060,Riaz03,12S,Europe,basin,7,5,4,0,4,623653,24946.12,10807,0.0174824782370966,0
D062_RS057,D062,Tele02,12S,Asia,basin,58,129,51,14,37,3896169,49318.5949367089,24789,0.513467459958744,1
