ID,DataID,primer,barcode,continent,type,tot.n.seqs,tot.mean.seqs,tot.median.seqs,Species,overlapped,prop.n.seqs,prop.mean.seqs,prop.median.seqs,type2
D006_RS002,D006,MiFish,12S,Asia,basin,130095,8673,6174,Nipponocypris temminckii,FALSE,0.978077558707099,0.944313117414533,0.986128364389234,Unique to reanalyzed
D006_RS002,D006,MiFish,12S,Asia,basin,130095,8673,6174,Zacco platypus,FALSE,0.016441830969676,0.0425959656622004,0,Unique to reanalyzed
D006_RS002,D006,MiFish,12S,Asia,basin,130095,8673,6174,Cyprinus carpio,TRUE,0.00258272800645682,0.00646077162778372,0,Overlapped
D006_RS002,D006,MiFish,12S,Asia,basin,130095,8673,6174,Pungtungia herzi,TRUE,0.0022368269341635,0.00545314603838349,0,Overlapped
D006_RS002,D006,MiFish,12S,Asia,basin,130095,8673,6174,Rhodeus ocellatus,TRUE,0.000515008263192283,0.000924775707384403,0,Overlapped
D006_RS002,D006,MiFish,12S,Asia,basin,130095,8673,6174,Sarcocheilichthys variegatus variegatus,FALSE,0.000146047119412737,0.000252223549714589,0,Unique to reanalyzed
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Mystacoleucus marginatus,TRUE,0.295090498102592,0.251246844878441,0.233370616827054,Overlapped
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Oreochromis niloticus,FALSE,0.306477604948739,0.30760295433592,0.189708480565371,Unique to reanalyzed
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Mastacembelus favus,FALSE,0.0255631896310378,0.0249453954300885,0.00657321957165245,Unique to reanalyzed
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Lobocheilos melanotaenia,FALSE,0.0224804226477612,0.0227676021847368,0,Unique to reanalyzed
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Toxotes chatareus,TRUE,0.0218685500498842,0.0215666276693258,0,Overlapped
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Channa gachua,TRUE,0.0152173832100812,0.0108249943358451,0,Overlapped
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Esomus metallicus,TRUE,0.0213552579111262,0.0208025680601543,0,Overlapped
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Acantopsis dialuzona,TRUE,0.0160086864277934,0.0213147340168294,1.54287653901935e-05,Overlapped
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Channa micropeltes,TRUE,0.0123700745895924,0.0114147467819528,0,Overlapped
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Labeo rohita,TRUE,0.0116679547728456,0.0112101001913129,0,Overlapped
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Cyclocheilichthys apogon,TRUE,0.0116691958937338,0.014441689463943,0,Overlapped
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Paralaubuca typus,TRUE,0.0120165324394426,0.0148901481787813,0,Overlapped
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Osteochilus vittatus,FALSE,0.0116468557177464,0.0116731148165431,0,Unique to reanalyzed
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Trichopodus microlepis,FALSE,0.0137939948543128,0.0163172237272804,1.86771590795896e-05,Unique to reanalyzed
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Cirrhinus cirrhosus,FALSE,0.0109826787395815,0.0121759517232584,0,Unique to reanalyzed
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Systomus orphoides,FALSE,0.0114094470221343,0.0119851528728936,0,Unique to reanalyzed
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Poropuntius bantamensis,TRUE,0.011427000017553,0.00807194497049815,0,Overlapped
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Hypophthalmichthys nobilis,TRUE,0.0111117553119531,0.00829337606874886,0,Overlapped
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Syncrossus helodes,TRUE,0.00981620240766814,0.0123501226930844,0,Overlapped
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Chitala ornata,FALSE,0.00545579012149332,0.00616499290496076,0.000127290683638758,Unique to reanalyzed
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Polynemus dubius,TRUE,0.00919670578147797,0.0103254294077237,0,Overlapped
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Amblyrhynchichthys truncatus,TRUE,0.00775470061238678,0.00882724405906249,0,Overlapped
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Osphronemus goramy,TRUE,0.00667776228740707,0.00806197472538079,0,Overlapped
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Gyrinocheilus aymonieri,TRUE,0.00542511670525666,0.0063371839902345,0,Overlapped
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Trichopodus pectoralis,TRUE,0.00509604236690264,0.0057543991502719,0,Overlapped
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Channa striata,TRUE,0.00739708049360442,0.00780007228475519,0.00213941807828271,Overlapped
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Nemacheilus platiceps,TRUE,0.00453931099705801,0.0064134816864009,0,Overlapped
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Bagarius yarrelli,FALSE,0.00443257460067379,0.0039879285647989,0.0003156016019502,Unique to reanalyzed
